AÑO;FECHA;CL#;TIPO DE CAJA;CONTAINERS
2025;1/5/2025;ME006;22XU;4
2025;1/5/2025;ME012;22XU;4
2025;1/5/2025;ME014;208;5
2025;1/5/2025;ME014;22XU;15
2025;1/5/2025;ME001;208;7
2025;1/5/2025;ME001;22XU;1
2025;1/5/2025;ME005;208;7
2025;1/5/2025;ME006;22XU;4
2025;1/5/2025;ME012;22XU;4
2025;1/6/2025;ME001;208;7
2025;1/6/2025;ME001;22XU;1
2025;1/6/2025;ME005;208;7
2025;1/6/2025;ME006;22XU;4
2025;1/6/2025;ME012;22XU;4
2025;1/6/2025;ME014;22XU;10
2025;1/6/2025;ME001;208;7
2025;1/6/2025;ME001;22XU;1
2025;1/6/2025;ME005;208;7
2025;1/6/2025;ME006;22XU;4
2025;1/6/2025;ME012;22XU;4
2025;1/6/2025;ME014;22XU;5
2025;1/6/2025;ME001;208;7
2025;1/6/2025;ME001;22XU;1
2025;1/6/2025;ME005;208;7
2025;1/6/2025;ME006;22XU;4
2025;1/6/2025;ME012;22XU;4
2025;1/6/2025;ME014;22XU;15
2025;1/6/2025;ME006;22XU;4
2025;1/6/2025;ME008;208;14
2025;1/6/2025;ME008;22XU;1
2025;1/6/2025;ME012;22XU;4
2025;1/6/2025;ME014;22XU;15
2025;1/6/2025;ME008;208;4
2025;1/6/2025;ME014;22XU;9
2025;1/7/2025;ME006;22XU;3
2025;1/7/2025;ME008;208;10
2025;1/7/2025;ME008;22XU;1
2025;1/7/2025;ME012;22XU;4
2025;1/7/2025;ME014;22XU;6
2025;1/7/2025;ME001;208;7
2025;1/7/2025;ME001;22XU;1
2025;1/7/2025;ME005;208;7
2025;1/7/2025;ME006;22XU;3
2025;1/7/2025;ME008;208;2
2025;1/7/2025;ME012;22XU;2
2025;1/7/2025;ME014;22XU;15
2025;1/7/2025;ME001;208;7
2025;1/7/2025;ME001;22XU;1
2025;1/7/2025;ME005;208;7
2025;1/7/2025;ME006;22XU;3
2025;1/7/2025;ME008;208;2
2025;1/7/2025;ME012;22XU;3
2025;1/7/2025;ME001;208;6
2025;1/7/2025;ME001;22XU;1
2025;1/7/2025;ME005;208;7
2025;1/7/2025;ME011;208;2
2025;1/7/2025;ME014;22XU;15
2025;1/7/2025;ME001;208;6
2025;1/7/2025;ME001;22XU;1
2025;1/7/2025;ME005;208;7
2025;1/7/2025;ME006;22XU;2
2025;1/7/2025;ME008;208;4
2025;1/7/2025;ME011;208;2
2025;1/7/2025;ME014;22XU;5
2025;1/8/2025;ME001;208;1
2025;1/8/2025;ME001;208;9
2025;1/8/2025;ME005;208;7
2025;1/8/2025;ME010;22XU;7
2025;1/8/2025;ME014;22XU;5
2025;1/8/2025;ME001;208;9
2025;1/8/2025;ME005;208;7
2025;1/8/2025;ME010;22XU;7
2025;1/8/2025;ME014;22XU;15
2025;1/8/2025;ME001;208;9
2025;1/8/2025;ME005;208;7
2025;1/8/2025;ME010;22XU;7
2025;1/8/2025;ME014;22XU;10
2025;1/8/2025;ME001;208;9
2025;1/8/2025;ME005;208;7
2025;1/8/2025;ME010;22XU;7
2025;1/9/2025;ME001;208;9
2025;1/9/2025;ME005;208;7
2025;1/9/2025;ME010;22XU;7
2025;1/9/2025;ME001;208;9
2025;1/9/2025;ME005;208;7
2025;1/9/2025;ME010;22XU;7
2025;1/9/2025;ME014;22XU;5
2025;1/9/2025;ME001;208;3
2025;1/9/2025;ME005;208;5
2025;1/9/2025;ME010;22XU;6
2025;1/9/2025;ME014;208;6
